Shot #,Exposure,Aperture,Focal length,Date,Location,Long,Lat
1,,,24mm,"Apr 21, 2024 at 16:08",,,
2,,,24mm,"Apr 21, 2024 at 17:08",6080 Inverness St,-123.0798876772640,49.22932592245960
3,,,24mm,"Apr 21, 2024 at 17:09",6080 Inverness St,-123.07990983839600,49.22931676183800
4,,,24mm,"Apr 21, 2024 at 17:14",1201 E 37th Ave,-123.07970654973400,49.23648196013600
5,,,24mm,"Apr 21, 2024 at 17:15",5325 Culloden St,-123.07969637110400,49.23648651292600
6,,,24mm,"Apr 21, 2024 at 17:29",Queen Elizabeth Park,-123.11363392721400,49.24244811376130
7,,,24mm,"Apr 21, 2024 at 17:30",Queen Elizabeth Park,-123.11363392721400,49.24244811376130
8,,,24mm,"Apr 21, 2024 at 17:31",Queen Elizabeth Park,-123.11339083039300,49.242368690848000
9,,,24mm,"Apr 21, 2024 at 17:32",Queen Elizabeth Park,-123.11337079426800,49.24235797082160
10,,,24mm,"Apr 21, 2024 at 17:33",Bloedel Conservatory,-123.11309604972300,49.24206831295890
11,,,24mm,"Apr 21, 2024 at 17:34",Bloedel Conservatory,-123.11309604972300,49.24206831295890
12,,,24mm,"Apr 21, 2024 at 17:35",Bloedel Conservatory,-123.11309604972300,49.24206831295890
13,,,24mm,"Apr 21, 2024 at 17:36",Bloedel Conservatory,-123.11337166956600,49.24217530953750
14,,,24mm,"Apr 23, 2024 at 14:48",8508 Rivergrass Dr,-123.02812477100900,49.20528742372780
15,,,24mm,"Apr 23, 2024 at 18:42",8508 Rivergrass Dr,-123.02812477100900,49.20528742372780
16,,,24mm,"Apr 23, 2024 at 18:44",8508 Rivergrass Dr,-123.02812477100900,49.20528742372780
17,,,24mm,"Apr 25, 2024 at 12:39",1320 W 73rd Ave,-123.13554193736900,49.20429833713540
18,,,24mm,"Apr 25, 2024 at 13:12",1300 W 73rd Ave,-123.13512945505400,49.204228241443000
19,,,24mm,"Apr 25, 2024 at 13:18",,,
20,,,24mm,"Apr 26, 2024 at 17:54",170–198 E 49th Ave,-123.10195328309800,49.22567513321220
21,,,24mm,"Apr 26, 2024 at 18:02",170–198 E 49th Ave,-123.10172293442600,49.225643989345000
22,,,24mm,"Apr 26, 2024 at 18:03",258 E 49th Ave,-123.10034691096800,49.22558743654340
23,,,24mm,"Apr 26, 2024 at 18:13",6544 Fraser St,-123.09064437750300,49.22526419035380
24,,,24mm,"Apr 26, 2024 at 18:14",6544 Fraser St,-123.09059592879300,49.225264824217900
25,,,24mm,"Apr 26, 2024 at 18:21",6533 Fraser St,-123.09089893486600,49.22523268968730
26,,,24mm,"Apr 26, 2024 at 18:23",661–699 E 48th Ave,-123.09085370198900,49.22655480887430
27,,,24mm,"Apr 26, 2024 at 18:34",6137 Fraser St,-123.09078603063100,49.22899557747810
28,,,24mm,"Apr 26, 2024 at 18:35",6191 Fraser St,-123.09095033507000,49.22836264198210
29,,,24mm,"Apr 26, 2024 at 18:36",6191 Fraser St,-123.09095033507000,49.22836264198210
30,,,24mm,"Apr 26, 2024 at 18:38",6417 Fraser St,-123.09080352596600,49.22625636792200
31,,,24mm,"Apr 26, 2024 at 18:39",6544 Fraser St,-123.09064205494200,49.22524486620610
32,,,24mm,"Apr 26, 2024 at 18:40",6544 Fraser St,-123.09065393183700,49.225306911439800
33,,,24mm,"Apr 26, 2024 at 18:45",535 E 50th Ave,-123.09352439839700,49.224628522106700
34,,,24mm,"Apr 26, 2024 at 18:54",6692 Main St,-123.10129492508100,49.22389103407640
35,,,24mm,"Apr 26, 2024 at 18:59",6587 Main St,-123.1018956947460,49.22495280063130
36,,,24mm,"Apr 26, 2024 at 19:04",6587 Main St,-123.1018956947460,49.22495280063130
37,,,24mm,"Apr 26, 2024 at 19:05",6587 Main St,-123.1018956947460,49.22495280063130
